,Layout,Wing,Span,dV,AoA,Cx,Cy,Cz,dCx,dCy,dMz
60,1,0,0.25,-6,0.5,0.011209,0.22812,0.19244,-0.0010520000000000009,-0.03922999999999999,-0.106256
61,1,0,0.25,-6,0.0,0.011040000000000001,0.18747,0.2023,-0.0009050000000000013,-0.03969,-0.107091
62,1,0,0.25,-6,-0.5,0.011091,0.14682,0.21175,-0.0007550000000000005,-0.04013,-0.10790999999999998
63,1,0,0.25,-6,-1.0,0.011362,0.10620999999999998,0.22077,-0.0006020000000000018,-0.040576999999999974,-0.10869
64,1,0,0.25,-6,-2.0,0.012559,0.025072999999999998,0.23756,-0.0002859999999999998,-0.041435,-0.11018
65,1,0,0.25,-6,-4.0,0.017551,-0.13647,0.26605,0.0003799999999999984,-0.04307999999999998,-0.11287000000000003
66,1,0,0.25,-4,12.0,0.073982,1.1367,-0.16277,-0.002491000000000007,-0.02090000000000014,-0.06028999999999998
67,1,0,0.25,-4,10.0,0.054939999999999996,0.98177,-0.093153,-0.002229999999999996,-0.0220800000000001,-0.063067
68,1,0,0.25,-4,9.0,0.046633,0.90317,-0.060325,-0.0020870000000000055,-0.022660000000000013,-0.064385
69,1,0,0.25,-4,8.0,0.039159,0.82391,-0.028873000000000003,-0.0019380000000000022,-0.023249999999999993,-0.06566
70,1,0,0.25,-4,7.0,0.032532,0.74405,0.0011619000000000002,-0.0017809999999999979,-0.023809999999999998,-0.06687789999999999
71,1,0,0.25,-4,6.0,0.026763,0.66368,0.029744999999999997,-0.0016159999999999994,-0.024370000000000003,-0.068044
72,1,0,0.25,-4,5.5,0.024205,0.62333,0.04348,-0.0015320000000000021,-0.024640000000000106,-0.068605
73,1,0,0.25,-4,5.0,0.021863999999999998,0.5828800000000001,0.056839999999999995,-0.0014449999999999984,-0.0249100000000001,-0.06915299999999999
74,1,0,0.25,-4,4.5,0.019744,0.5423399999999999,0.06982100000000001,-0.001357999999999998,-0.02517999999999987,-0.06968686
75,1,0,0.25,-4,4.0,0.017843,0.50173,0.082419,-0.0012670000000000008,-0.025449999999999973,-0.070207
76,1,0,0.25,-4,3.5,0.016163,0.46103999999999995,0.09462899999999999,-0.0011750000000000007,-0.0257,-0.07071
77,1,0,0.25,-4,3.0,0.014705000000000001,0.4203,0.10645,-0.0010820000000000014,-0.025959999999999983,-0.07120000000000001
78,1,0,0.25,-4,2.5,0.013469,0.37951,0.11788,-0.000987,-0.02622000000000002,-0.071677
79,1,0,0.25,-4,2.0,0.012454,0.33869,0.12891,-0.0008889999999999992,-0.026469999999999994,-0.072134
80,1,0,0.25,-4,1.5,0.011663,0.29783000000000004,0.13954,-0.000791,-0.026710000000000067,-0.072575
81,1,0,0.25,-4,1.0,0.011093,0.25695999999999997,0.14977000000000001,-0.0006910000000000006,-0.026949999999999974,-0.07300200000000003
82,1,0,0.25,-4,0.5,0.010745999999999999,0.21609,0.1596,-0.0005889999999999992,-0.027200000000000002,-0.073416
83,1,0,0.25,-4,0.0,0.010621,0.17522000000000001,0.16902,-0.0004860000000000003,-0.02744000000000002,-0.073811
84,1,0,0.25,-4,-0.5,0.010717,0.13435999999999998,0.17804,-0.00038100000000000113,-0.027669999999999972,-0.07419999999999999
85,1,0,0.25,-4,-1.0,0.011035,0.093523,0.18664,-0.00027500000000000094,-0.027889999999999984,-0.07456
86,1,0,0.25,-4,-2.0,0.012329999999999999,0.011970999999999999,0.20260999999999998,-5.6999999999998024e-05,-0.028333,-0.07522999999999999
87,1,0,0.25,-4,-4.0,0.017535,-0.15039,0.22956999999999997,0.0003960000000000005,-0.02915999999999999,-0.07638999999999999
88,1,0,0.25,-2,12.0,0.07281900000000001,1.1278,-0.18903,-0.0013280000000000097,-0.01200000000000001,-0.03402999999999998
