Layout, Wing, Span, dV, AOA, Cx, Cy, Mz
1, 0, 0.25, 2,   5.  ,    0.19789E-01,  0.54284    , -0.53540E-01
1, 0, 0.25, 2,   4.5 ,    0.17816E-01,  0.50205    , -0.40972E-01
1, 0, 0.25, 2,   4.  ,    0.16064E-01,  0.46119    , -0.28765E-01
1, 0, 0.25, 2,   3.5 ,    0.14534E-01,  0.42027    , -0.16923E-01
1, 0, 0.25, 2,   3.  ,    0.13228E-01,  0.37930    , -0.54499E-02
1, 0, 0.25, 2,   2.5 ,    0.12145E-01,  0.33829    ,  0.56525E-02
1, 0, 0.25, 2,   2.0 ,    0.11286E-01,  0.29724    ,  0.16381E-01
1, 0, 0.25, 2,   1.5 ,    0.10651E-01,  0.25618    ,  0.26733E-01
1, 0, 0.25, 2,   1.  ,    0.10239E-01,  0.21510    ,  0.36706E-01
1, 0, 0.25, 2,   0.5 ,    0.10051E-01,  0.17402    ,  0.46297E-01
1, 0, 0.25, 2,   0.0 ,    0.10087E-01,  0.13295    ,  0.55505E-01
1, 0, 0.25, 2,  -0.5 ,    0.10345E-01,  0.91905E-01,  0.64328E-01
1, 0, 0.25, 2,   -1. ,    0.10826E-01,  0.50887E-01,  0.72763E-01
1, 0, 0.25, 2,  -2.0 ,    0.12452E-01, -0.31014E-01,  0.88465E-01
1, 0, 0.25, 2,  -4.0 ,    0.18333E-01, -0.19400    ,  0.11516    
1, 0, 0.25, 4,  12.  ,    0.68532E-01,   1.0830    , -0.31356    
1, 0, 0.25, 4,  10.  ,    0.50280E-01,  0.92722    , -0.24551    
1, 0, 0.25, 4,   9.  ,    0.42376E-01,  0.84822    , -0.21331    
1, 0, 0.25, 4,   8.  ,    0.35310E-01,  0.76858    , -0.18238    
1, 0, 0.25, 4,   7.  ,    0.29095E-01,  0.68838    , -0.15274    
1, 0, 0.25, 4,   6.  ,    0.23744E-01,  0.60769    , -0.12446    
1, 0, 0.25, 4,   5.5 ,    0.21395E-01,  0.56720    , -0.11082    
1, 0, 0.25, 4,   5.  ,    0.19266E-01,  0.52661    , -0.97541E-01
1, 0, 0.25, 4,   4.5 ,    0.17357E-01,  0.48594    , -0.84609E-01
1, 0, 0.25, 4,   4.  ,    0.15669E-01,  0.44520    , -0.72032E-01
1, 0, 0.25, 4,   3.5 ,    0.14203E-01,  0.40440    , -0.59813E-01
1, 0, 0.25, 4,   3.  ,    0.12959E-01,  0.36355    , -0.47956E-01
1, 0, 0.25, 4,   2.5 ,    0.11938E-01,  0.32267    , -0.36463E-01
1, 0, 0.25, 4,   2.0 ,    0.11140E-01,  0.28175    , -0.25339E-01
1, 0, 0.25, 4,   1.5 ,    0.10565E-01,  0.24081    , -0.14584E-01
1, 0, 0.25, 4,   1.  ,    0.10213E-01,  0.19987    , -0.42032E-02
1, 0, 0.25, 4,   0.5 ,    0.10084E-01,  0.15893    ,  0.58023E-02
1, 0, 0.25, 4,   0.0 ,    0.10177E-01,  0.11799    ,  0.15430E-01
1, 0, 0.25, 4,  -0.5 ,    0.10492E-01,  0.77086E-01,  0.24678E-01
1, 0, 0.25, 4,   -1. ,    0.11030E-01,  0.36210E-01,  0.33543E-01
1, 0, 0.25, 4,  -2.0 ,    0.12766E-01, -0.45402E-01,  0.50122E-01
1, 0, 0.25, 4,  -4.0 ,    0.18855E-01, -0.20778    ,  0.78625E-01
1, 0, 0.25, 6,  12.  ,    0.67122E-01,   1.0643    , -0.36482    
1, 0, 0.25, 6,  10.  ,    0.49180E-01,  0.90909    , -0.29510    
1, 0, 0.25, 6,   9.  ,    0.41427E-01,  0.83038    , -0.26201    
1, 0, 0.25, 6,   8.  ,    0.34508E-01,  0.75105    , -0.23015    
